Semestre,temporal_marker,perception_family,mean
2025.2,T1,ai_benefit,2.130434782608696
2025.2,T1,ai_career_impact_5y,1.4782608695652173
2025.2,T1,autonomy_tool_dependency,3.0869565217391304
2025.2,T1,career_expectation,0.1956521739130435
2025.2,T1,project_challenges,0.2608695652173913
2025.2,T1,project_feeling,0.108695652173913
2025.2,T2,ai_benefit,2.2195121951219514
2025.2,T2,ai_career_impact_5y,1.4390243902439024
2025.2,T2,autonomy_tool_dependency,3.024390243902439
2025.2,T2,career_expectation,0.6341463414634146
2025.2,T2,project_challenges,0.1707317073170731
2025.2,T2,project_feeling,0.3170731707317073
2025.2,T3,ai_benefit,2.25
2025.2,T3,ai_career_impact_5y,1.325
2025.2,T3,autonomy_tool_dependency,3.225
2025.2,T3,career_expectation,0.4
2025.2,T3,project_challenges,0.15
2025.2,T3,project_feeling,0.35
2026.1,T1,ai_benefit,2.0
2026.1,T1,ai_career_impact_5y,1.5454545454545454
2026.1,T1,autonomy_tool_dependency,2.636363636363636
2026.1,T1,career_expectation,0.3181818181818182
2026.1,T1,project_challenges,0.1363636363636363
2026.1,T1,project_feeling,0.3181818181818182
2026.1,T2,ai_benefit,1.85
2026.1,T2,ai_career_impact_5y,1.8
2026.1,T2,autonomy_tool_dependency,2.9
2026.1,T2,career_expectation,0.55
2026.1,T2,project_challenges,0.2
2026.1,T2,project_feeling,0.55
2026.1,T3,ai_benefit,1.5555555555555556
2026.1,T3,ai_career_impact_5y,1.6666666666666667
2026.1,T3,autonomy_tool_dependency,3.4444444444444446
2026.1,T3,career_expectation,0.7222222222222222
2026.1,T3,project_challenges,0.0555555555555555
2026.1,T3,project_feeling,0.5
