ID_Equipe,Semestre,cut,author_share_median,commit_n,churn,author_gini
TEAM_01,2025.2,T1,0.5,7,15770.0,0.0714285714285714
TEAM_01,2025.2,T2,,0,0.0,
TEAM_01,2025.2,T3,1.0,12,1366581.0,0.0
TEAM_01,2026.1,T1,1.0,1,2.0,0.0
TEAM_01,2026.1,T2,1.0,1,15256.0,0.0
TEAM_01,2026.1,T3,1.0,1,7213.0,0.0
TEAM_02,2025.2,T1,,0,0.0,
TEAM_02,2025.2,T2,0.06756756756756757,37,12429.0,0.5090090090090089
TEAM_02,2025.2,T3,0.16463414634146342,164,53210.0,0.448780487804878
TEAM_02,2026.1,T1,0.2727272727272727,11,4497.0,0.36363636363636376
TEAM_02,2026.1,T2,0.11904761904761904,21,11897.0,0.40476190476190466
TEAM_02,2026.1,T3,0.13157894736842105,38,24540.0,0.35672514619883033
TEAM_03,2025.2,T1,,0,0.0,
TEAM_03,2025.2,T2,,0,0.0,
TEAM_03,2025.2,T3,0.3333333333333333,9,21198.0,0.14814814814814814
TEAM_03,2026.1,T1,0.24000000000000002,25,7952.0,0.3500000000000001
TEAM_03,2026.1,T2,0.13793103448275862,29,3140.0,0.3448275862068966
TEAM_03,2026.1,T3,0.2647058823529412,17,477.0,0.22058823529411775
TEAM_04,2025.2,T1,0.1111111111111111,9,402.0,0.41666666666666674
TEAM_04,2025.2,T2,0.18181818181818182,11,13962.0,0.3030303030303032
TEAM_04,2025.2,T3,0.09302325581395349,43,25088.0,0.5302325581395348
TEAM_04,2026.1,T1,0.5,10,2238.0,0.3999999999999999
TEAM_04,2026.1,T2,,0,0.0,
TEAM_04,2026.1,T3,0.5,17,88966.0,0.08823529411764697
TEAM_05,2025.2,T1,,0,0.0,
TEAM_05,2025.2,T2,,0,0.0,
TEAM_05,2025.2,T3,1.0,1,7110.0,0.0
TEAM_05,2026.1,T1,0.0625,40,17111.0,0.4750000000000001
TEAM_05,2026.1,T2,0.08108108108108109,37,5823.0,0.4864864864864866
TEAM_05,2026.1,T3,0.05319148936170212,47,8246.0,0.5297872340425531
TEAM_07,2025.2,T1,0.5,7,2433.0,0.0714285714285714
TEAM_07,2025.2,T2,0.11666666666666667,30,11802.0,0.46666666666666656
TEAM_07,2025.2,T3,0.05555555555555555,36,11762127.0,0.4666666666666668
TEAM_08,2025.2,T1,,0,0.0,
TEAM_08,2025.2,T2,0.13043478260869565,23,5706.0,0.298913043478261
TEAM_08,2025.2,T3,0.3333333333333333,3,304.0,0.0
TEAM_09,2025.2,T1,1.0,1,209.0,0.0
TEAM_09,2025.2,T2,0.10344827586206896,29,132503.0,0.46896551724137936
TEAM_09,2025.2,T3,0.14285714285714285,77,134869.0,0.48311688311688306
TEAM_10,2025.2,T1,,0,0.0,
TEAM_10,2025.2,T2,0.18181818181818182,11,29881.0,0.34090909090909083
TEAM_10,2025.2,T3,0.42857142857142855,7,2202.0,0.19047619047619047
